price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated,date,day,month,year,7_day_avg,30_day_avg
26141.823829503945,12800164278.269156,-24.7999,0.15557019,-1.16729452,-1.92843509,-10.54215105,-14.21706445,-2.1771838,508901577397.7618,48.3418,548978300419.58,0.0,2023-08-24 23:48:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26141.823829503945
26137.621538570496,12875184437.388348,-24.2485,0.10654151,-1.09134977,-1.78316964,-10.59677163,-14.23552573,-2.1764804,508819771610.2749,48.2576,548890052309.98,0.0,2023-08-24 23:54:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26139.72268403722
26129.60312549737,12873158889.32685,-24.2792,0.07322251,-1.10190415,-1.81702362,-10.62535388,-14.23563536,-2.20023097,508663677563.90106,48.2428,548721665635.44,0.0,2023-08-24 23:55:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26136.34949785727
26139.04009454925,12870440788.347744,-24.2999,0.1115068,-1.08000754,-1.9374052,-10.57659929,-14.20445611,-2.17847175,508847386568.5856,48.2964,548919841985.53,0.0,2023-08-24 23:57:00+00:00,2023-08-24,24,8,2023,26140.070857406663,26137.022147030264
26181.61422681052,12863033591.743568,-24.0101,0.31712312,-0.93156342,-1.59003096,-10.4129462,-14.06404282,-1.95176666,509676175072.60895,48.3347,549813898763.02,0.0,2023-08-25 00:03:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26145.940562986318
26166.20777566228,12851373342.525404,-23.5254,0.25161508,-1.07564614,-2.12313246,-10.47731109,-14.29785296,-2.0033231,509376258458.4288,48.3136,549490363288.91,0.0,2023-08-25 00:08:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26149.318431765645
26084.5854112528,12758018573.404016,-21.11,0.27759074,-1.34448845,-1.33632869,-10.77037603,-14.04857871,-2.25822228,507796110476.8713,48.362,547776293636.31,0.0,2023-08-25 08:43:00+00:00,2023-08-25,25,8,2023,26140.070857406663,26140.070857406663
26083.873471728,12758697682.100224,-21.1079,0.28023355,-1.34878472,-1.40019122,-10.77297451,-14.03689555,-2.29881916,507782250945.8154,48.3607,547761342906.29,0.0,2023-08-25 08:44:00+00:00,2023-08-25,25,8,2023,26131.792234867247,26133.04618419683
26074.6095388737,12756092672.357197,-21.044,0.35193783,-1.39075179,-1.60121721,-10.7796155,-14.1052278,-2.3051382,507601907306.192,48.3549,547566800316.35,0.0,2023-08-25 08:50:00+00:00,2023-08-25,25,8,2023,26122.790520624847,26126.553223605373
26070.542760789893,12753212506.864674,-21.0426,0.36335925,-1.41395332,-1.82633616,-10.79600551,-14.20393697,-2.32595399,507522738170.0692,48.3628,547481397976.59,0.0,2023-08-25 08:52:00+00:00,2023-08-25,25,8,2023,26114.353325666634,26120.952177323827
26073.977891266502,12754334416.83028,-21.0332,0.34311438,-1.38078234,-1.71001861,-10.77312782,-14.21426524,-2.3153468,507589610840.9398,48.3692,547553535716.6,0.0,2023-08-25 08:54:00+00:00,2023-08-25,25,8,2023,26105.058725197672,26116.681787682253
26086.72457503608,12614170600.072365,-22.139,0.25006642,-1.56539115,-1.72125823,-10.70988115,-14.22105512,-2.28349603,507837754192.1804,48.3905,547821216075.76,0.0,2023-08-25 09:06:00+00:00,2023-08-25,25,8,2023,26091.503060658462,26114.185353295074
26081.673918737884,12585347857.598713,-22.5068,0.25306828,-1.7821032,-1.81651145,-10.75553077,-14.06966862,-2.31309874,507739431616.48505,48.3889,547715152293.5,0.0,2023-08-25 09:10:00+00:00,2023-08-25,25,8,2023,26079.426795383555,26111.684473713747
26086.03891867256,12568613732.32579,-22.71,0.24894302,-1.74072914,-1.79725893,-10.71788101,-14.01440378,-2.29268572,507824406322.9685,48.4018,547806817292.12,0.0,2023-08-25 09:12:00+00:00,2023-08-25,25,8,2023,26079.634439300666,26109.852648353663
26086.03891867256,12568613732.32579,-22.71,0.24894302,-1.74072914,-1.79725893,-10.71788101,-14.01440378,-2.29268572,507824406322.9685,48.4018,547806817292.12,0.0,2023-08-25 09:12:00+00:00,2023-08-25,25,8,2023,26079.94378886417,26108.265066374923
26082.36449396806,12552841261.160738,-23.0461,0.22239841,-1.72693978,-1.80939394,-10.71357336,-14.05499106,-2.30511504,507752875242.686,48.395,547729654373.33,0.0,2023-08-25 09:15:00+00:00,2023-08-25,25,8,2023,26081.051639591933,26106.646280599492
26082.36449396806,12552841261.160738,-23.0461,0.22239841,-1.72693978,-1.80939394,-10.71357336,-14.05499106,-2.30511504,507752875242.686,48.395,547729654373.33,0.0,2023-08-25 09:15:00+00:00,2023-08-25,25,8,2023,26082.740458617387,26105.217940209408
26092.49769879689,12510003822.511766,-23.6495,0.10450742,-1.45243546,-1.70854642,-10.65340754,-13.97578091,-2.3251826,507950141249.31866,48.3781,547942451674.73,0.0,2023-08-25 09:26:00+00:00,2023-08-25,25,8,2023,26085.386145407443,26104.511260130937
26095.439044475675,12508885173.07964,-23.6402,0.0407909,-1.42546389,-1.64639714,-10.64527933,-13.94740984,-2.29993783,508007401269.8137,48.3881,548004219933.99,0.0,2023-08-25 09:28:00+00:00,2023-08-25,25,8,2023,26086.631069613097,26104.03377509645
26103.372606569585,12506040268.74966,-23.6556,0.02030128,-1.37957393,-1.62138868,-10.58395577,-13.93326573,-2.26827885,508161846200.0282,48.4028,548170824737.96,0.0,2023-08-25 09:30:00+00:00,2023-08-25,25,8,2023,26089.73088216048,26104.000716670103
26099.21985261705,12502642603.683392,-23.7114,-0.01557717,-1.40623436,-1.57626871,-10.58704532,-13.94425337,-2.28320251,508081003346.9938,48.3722,548083616904.96,0.0,2023-08-25 09:33:00+00:00,2023-08-25,25,8,2023,26091.61387272398,26103.773056477105
26089.60956171204,12505279562.952492,-23.7333,-0.01693128,-1.43375794,-1.57332994,-10.64321048,-13.95839495,-2.31784975,507893917055.7925,48.3544,547881800795.95,0.0,2023-08-25 09:35:00+00:00,2023-08-25,25,8,2023,26092.123964586764,26103.129261260507
26046.73335766041,12599216785.56385,-3.0104,-0.00211,-0.16020909,-0.09762219,-11.67973008,-13.71673936,-2.78786074,507071944491.9274,48.2736,546981400510.87,0.0,2023-08-25 22:20:00+00:00,2023-08-25,25,8,2023,26087.0338022571,26100.67726545181
26044.7348060254,12595741667.79406,-2.9433,0.02338194,-0.20374188,-0.07079356,-11.68870034,-13.73608821,-2.76226194,507033037138.3711,48.2969,546939430926.53,0.0,2023-08-25 22:23:00+00:00,2023-08-25,25,8,2023,26081.65813255101,26098.346329642376
26044.7348060254,12595741667.79406,-2.9433,0.02338194,-0.20374188,-0.07079356,-11.68870034,-13.73608821,-2.76226194,507033037138.3711,48.2969,546939430926.53,0.0,2023-08-25 22:23:00+00:00,2023-08-25,25,8,2023,26074.834862155083,26096.2018686977
26044.45336470273,12580597016.57162,-2.797,0.07948265,-0.22781654,-0.17540133,-11.52941514,-13.90039223,-2.91374076,507027558102.02576,48.2843,546933520658.76,0.0,2023-08-25 22:46:00+00:00,2023-08-25,25,8,2023,26067.55119361609,26094.211541620964
26044.45336470273,12580597016.57162,-2.797,0.07948265,-0.22781654,-0.17540133,-11.52941514,-13.90039223,-2.91374076,507027558102.02576,48.2843,546933520658.76,0.0,2023-08-25 22:46:00+00:00,2023-08-25,25,8,2023,26059.134159063684,26092.36864617955
26044.45336470273,12580597016.57162,-2.797,0.07948265,-0.22781654,-0.17540133,-11.52941514,-13.90039223,-2.91374076,507027558102.02576,48.2843,546933520658.76,0.0,2023-08-25 22:46:00+00:00,2023-08-25,25,8,2023,26051.31037507592,26090.657386126808
